"Type.1","Type.2","sample.ID","n","avg.dp17O","avg.dp18O","avg.D17O","sd.dp17O","sd.dp18O","sd.D17O"
"Water","Ty's Waters","COB-PR-6JAN11","3","-4.0490044812471","-7.70850918817396","21.0883701087544","0.395318923485075","0.732585238874752","14.4133126347214"
"Water","Crowdsource","IPL-18W-152","2","-1.22494908283484","-2.36598844038904","24.292813690573","0.00781467657415549","0.0204545936488897","2.98534887245508"
"Water","Crowdsource","IPL-18W-178","1","-0.232494589379564","-0.463007533943509","11.9733885426085",NA,NA,NA
"Water","Ty's Waters","COB-PR-20AUG11","3","-4.19925917256043","-8.00853924567857","29.2495491578511","0.338390968867661","0.622320312083319","9.93489446610907"
"Water","Ty's Waters","COB-PR-6FEB11","3","-4.00145047056081","-7.61038906597645","16.8349562747525","0.482233438772668","0.910763411197176","6.35123966900366"
"Water","Crowdsource","IPL-18W-018","2","-1.73399455302816","-3.31037073072064","13.8811927923393","0.161448966610691","0.286742699828689","10.0488211011401"
"Water","Crowdsource","IPL-18W-116","2","-1.08177517022606","-2.05191678848276","1.63689409283562","0.0281155126384725","0.0677500881437331","7.65653390141335"
"Water","Peru2019","PE19-PUM-L018","1","-6.36813385722767","-12.147805302995","45.9073427536882",NA,NA,NA
"Water","Peru2019","PE19-JUN-L159","3","-5.50314852883765","-10.4689950882639","24.4808777656666","0.107147993782038","0.203740120965748","7.05659251542303"
"Water","Peru2019","PE19-JUN-R063","7","-5.31742864920143","-10.1049490187898","17.9844327195864","0.392573858153849","0.729386654154608","13.0636230222366"
"Water","Peru2019","PE19-MEH-L116","4","-6.72316615036573","-12.7976545809817","33.9954683926009","0.413288333978265","0.759355874734276","16.5539880575876"
"Water","Peru2019","PE19-YAN-L155","2","-4.6119196234647","-8.77604811635172","21.83378196901","0.0228908546101607","0.042806254715338","0.28915212046596"
"Water","Peru2019","PE19-PUM-S009","3","-7.47052751941326","-14.2212661139057","38.300988728927","0.72468916874385","1.35430489158209","16.6480696468111"
"Water","Peru2019","PE19-PUM-S016","4","-7.19060428996269","-13.6949830376459","40.3467539143214","0.507427578181078","0.93514599096809","14.0748263246817"
